Date,Open_Interest,Producer_Longs,Producer_Shorts,Swap_Dealer_Longs,Swap_Dealer_Shorts,Swap_Dealer_Spreads,Money_Manager_Longs,Money_Manager_Shorts,Money_Manager_Spreads,Other_Reportable_Longs,Other_Reportable_Shorts,Other Reportable Spreads,Total_Reportable_Longs,Total_Reportable_Shorts,Non_Reportable_Longs,Non_Reportable_Shorts
2012-06-19T00:00:00Z,179844,83129,87564,21410,14008,5053,26392,28507,17295,3508,3509,13638,170426,169575,9418,10269
2012-06-26T00:00:00Z,183950,85152,85428,20529,13541,6190,27220,32201,17800,3097,3320,14027,174015,172506,9935,11444
2012-07-03T00:00:00Z,193582,81607,98705,20467,13918,6735,33408,27418,20053,4487,2693,15350,182107,184873,11475,8709
2012-07-10T00:00:00Z,196931,81855,101919,20435,14530,7754,36478,26228,19889,4647,2493,14737,185797,187550,11134,9380
2012-07-17T00:00:00Z,201476,87747,101580,19861,13782,7358,37009,29886,19434,4563,3011,15009,190981,190060,10495,11416
2012-07-24T00:00:00Z,205903,89646,102285,19465,13141,7125,36563,31447,22618,4781,3030,15573,195770,195218,10132,10685
2012-07-31T00:00:00Z,210372,83923,108512,20603,12453,7008,38492,25704,26194,3999,2913,17833,198050,200616,12322,9756
2012-08-07T00:00:00Z,208334,79769,110995,21308,13233,4513,41743,26373,25923,5084,2642,17423,195762,201102,12571,7231
2012-08-14T00:00:00Z,209504,78352,114322,21886,12845,3501,47605,29329,22677,5164,2458,16770,195955,201902,13549,7602
2012-08-21T00:00:00Z,209422,74971,110429,22049,12234,3318,50790,34617,23929,6210,2606,15648,196914,202781,12508,6641
2012-08-28T00:00:00Z,211987,73750,113942,23298,12678,3071,49498,30973,24468,6803,2936,17431,198319,205500,13668,6487
2012-09-04T00:00:00Z,222915,72563,124601,25242,13666,3610,51840,22848,30758,6672,3383,18192,208877,217058,14038,5857
2012-09-11T00:00:00Z,233875,70807,130474,29127,14014,3809,54372,22395,34546,6585,3453,19523,218769,228214,15107,5661
2012-09-18T00:00:00Z,226838,69596,124363,29381,13698,4282,48898,21428,35616,5552,2628,18640,211965,220654,14874,6184
2012-09-25T00:00:00Z,223926,68721,122851,27903,13129,4647,45217,17341,38338,5540,2566,17923,208290,216796,15636,7130
2012-10-02T00:00:00Z,226789,67527,120231,28758,13182,8022,44266,18058,41162,5567,2189,20176,215477,223020,11312,3770
2012-10-09T00:00:00Z,226489,69901,118874,26801,13157,5414,44447,18992,42645,5178,2278,18361,212748,219721,13741,6768
2012-10-16T00:00:00Z,228728,72956,118935,24663,12946,5380,45477,18910,42459,5284,2353,18960,215180,219944,13548,8784
2012-10-23T00:00:00Z,236102,75055,124930,23866,13028,6209,45604,16661,45976,5353,2389,20087,222152,229281,13950,6822
2012-10-30T00:00:00Z,233485,74676,121957,24655,12679,6265,43301,15459,45953,4811,2849,20502,220163,225664,13322,7821
2012-11-06T00:00:00Z,215703,71523,121226,24124,12424,5553,44433,14747,34077,4917,2935,16146,200772,207107,14931,8595
2012-11-13T00:00:00Z,200874,64663,109584,25081,11988,2902,43559,15855,29835,4584,3445,16670,187295,190280,13579,10594
2012-11-20T00:00:00Z,212350,67786,121271,24827,11903,3210,47931,13868,34846,4831,3511,17039,200469,205648,11881,6702
2012-11-27T00:00:00Z,219139,67315,129087,25656,11776,3394,51021,12948,34648,5447,3160,17239,204719,212250,14420,6889
2012-12-04T00:00:00Z,228437,65880,135625,26978,11469,3457,56813,15942,33998,6626,2742,19873,213626,223106,14811,5331
2012-12-11T00:00:00Z,220003,64753,130630,28015,11886,3188,53540,13900,33907,5613,2203,18038,207053,213752,12949,6251
2012-12-18T00:00:00Z,216235,63433,129243,27254,11875,3356,52385,12732,32884,5690,2158,18036,203039,210285,13197,5951
2012-12-24T00:00:00Z,214981,67968,123781,28407,11996,3293,47484,14156,33710,5395,2641,16999,203256,206576,11725,8405
2012-12-31T00:00:00Z,218218,69639,120507,26832,11976,4013,46370,15129,34579,5831,3258,18590,205855,208053,12363,10165
