Open_Interest.t,Mon.t_1_Manager_Longs.t,Mon.t_1_Manager_Shorts.t,Mon.t_1_Manager_Spreads.t,Open_Interest.t_1,Producer_Longs.t_1,Producer_Shorts.t_1,Swap_Dealer_Longs.t_1,Swap_Dealer_Shorts.t_1,Swap_Dealer_Spreads.t_1,Mon.t_1_Manager_Longs.t_1,Mon.t_1_Manager_Shorts.t_1,Mon.t_1_Manager_Spreads.t_1,Other_Reportable_Longs.t_1,Other_Reportable_Shorts.t_1,Other Reportable Spreads.t_1,Total_Reportable_Longs.t_1,Total_Reportable_Shorts.t_1,Non_Reportable_Longs.t_1,Non_Reportable_Shorts.t_1,Oil.t_1,Sugar.t_1,Sugar.t
856336,102264,115849,47031,855873,283760,420972,180712,36117,31015,99014,117714,49080,28394,30974,107963,779938,793835,75935,62037,1.68,0.14,0.023
677284,63193,37474,31889,661406,187118,353597,136881,28391,15881,63360,35760,34518,33555,4501,122217,593530,594866,67875,66540,0.05,0.053,0.04
1005896,148533,226467,102919,972001,227765,390234,243693,38892,54736,150164,215411,98881,66645,21986,45835,887720,865975,84281,106026,1.807,-0.18,-0.16
1090223,296262,10014,86040,1114917,234214,705517,145839,83059,32864,292726,8278,82882,77635,14945,144249,1010410,1071793,104507,43124,1.18,0.763,-0.6
951537,176312,41177,77543,996004,283697,478483,139361,148689,57487,184830,44867,88857,35466,11537,112102,901801,942021,94204,53983,-24.833,-0.623,0.4
815988,119431,8293,80492,813510,161767,350052,146474,105027,78622,120897,11134,74587,18928,4502,130408,731684,754333,81827,59177,-2.267,0.087,0.667
1151256,129722,16537,106019,1160204,293200,468021,157775,148428,128097,128695,14947,109794,23010,5062,240363,1080933,1114710,79271,45494,-2.637,-0.77,0.657
696033,125909,13954,33729,663313,122369,275088,128906,85707,49309,107912,22423,36439,25281,4950,124188,594404,598104,68909,65210,2.523,1.71,-0.707
1251166,195439,38009,81828,1272077,259180,751705,331580,68601,77805,197924,42103,74618,31178,18054,179838,1152124,1212724,119953,59353,-3.407,-1.307,1.127
847751,130651,111696,64010,850497,245012,407913,197177,50876,41495,127372,114580,73897,30377,11219,66919,782249,766900,68248,83597,1.46,0.457,-0.577
940906,162593,213014,82755,909911,206267,395940,219015,32914,36937,165890,205555,78040,65468,14652,71699,843316,835737,66595,74174,-1.26,-0.297,-0.383
1269415,174643,7286,115861,1270677,303136,530406,155196,163972,133611,179091,3857,120800,24773,12661,252384,1168990,1217690,101687,52987,4.523,0.03,0.993
1201103,216547,48554,138639,1164731,368099,499468,112032,163424,73416,185512,48766,136957,44774,29529,160889,1081681,1112449,83051,52282,0.89,1.93,1.11
905277,132674,100899,75950,888534,235585,397065,177301,65088,58191,130350,105668,68727,49795,11168,97282,817230,803189,71304,85345,-2.433,-0.58,-0.277
1039532,140883,173833,110525,1052387,262735,418489,209435,36770,48633,141269,206303,118680,86404,36917,113783,980939,979576,71448,72811,6.073,0.08,0.303
944192,133109,175308,101187,901832,188858,419961,239769,51312,38962,142506,152939,87362,62333,12742,47123,806913,810402,94919,91430,4.073,-0.54,-0.177
